País;Poblacion;Renta per capita;Esperanza de vida
United States;325084756;59939;78,9
China;1421021791;8612;76,7
Japan;127502725;38214;84,5
Germany;82658409;44680;81,2
India;1338676785;1980;69,4
United Kingdom;66727461;39532;81,2
France;64842509;39827;82,5
Brazil;207833823;9881;75,7
Italy;60673701;32038;83,6
Canada;36732095;44841;82,3
Russia;145530082;10846;72,4
South Korea;51096415;29958;82,8
Australia;24584620;53831;83,3
Spain;46647428;28175;83,4
Mexico;124777324;9224;75
Indonesia;264650963;3837;71,5
Turkey;81116450;10498;78,3
Netherlands;17021347;48796;82,1
Saudi Arabia;33101179;20747;75
Argentina;43937140;14508;76,5
Sweden;9904896;54075;82,7
Poland;37953180;13871;78,5
Belgium;11419748;43325;81,5
Thailand;69209810;6579;76,9
Iran;80673883;5628;76,5
Austria;8819901;47261;81,4
Norway;5296326;75428;82,3
United Arab Emirates;9487203;40325;77,8
Nigeria;190873244;1969;54,3
Israel;8243848;42852;82,8
South Africa;57009756;6120;63,9
Hong Kong;7306322;46733;84,1
Ireland;4753279;69727;82,1
Denmark;5732274;57545;80,8
Singapore;5708041;56746;83,8
Malaysia;31104646;10118;76,1
Colombia;48909839;6429;77,1
Philippines;105172925;2982;71,1
Pakistan;207906209;1467;67,1
Chile;18470439;15001;80
Finland;5511371;45778;81,7
Bangladesh;159685424;1564;72,3
Egypt;96442591;2441;71,8
Vietnam;94600648;2366;75,3
Portugal;10288527;21316;81,9
Romania;19653969;10781;75,9
Peru;31444298;6723;76,5
New Zealand;4702034;43415;82,1
Greece;10569450;19214;82,1
Iraq;37552781;5114;70,5
Algeria;41389189;4048;76,7
Kazakhstan;18080019;9009;76,2
Hungary;9729823;14364;76,7
Angola;29816766;4096;60,8
Kuwait;4056099;29616;75,4
Sudan;40813397;2879;65,1
Ukraine;44487709;2521;72
Morocco;35581255;3083;76,5
Ecuador;16785361;6214;76,8
Cuba;11339254;8541;78,6
Slovakia;5447900;17551;77,4
Sri Lanka;21128032;4135;76,8
Ethiopia;106399924;757;66,2
Kenya;50221142;1578;63,3
Dominican Republic;10513104;7223;73,9
Guatemala;16914970;4471;74,1
Oman;4665928;15170;77,6
Myanmar;53382523;1256;66,9
Luxembourg;59191;105280;82,1
Panama;4106769;15166;78,3
Ghana;29121465;2026;63,8
Bulgaria;7102444;8197;74,9
Costa Rica;4949954;11573;80,1
Uruguay;3436641;16341;77,8
Croatia;4182857;13200;78,3
Belarus;9450231;5762;74,6
Lebanon;6819373;7857;78,9
Tanzania;54660339;975;65
Uzbekistan;31959785;1554;71,5
Slovenia;2076394;23488;81,2
Lithuania;2845414;16709;75,7
Serbia;8829628;4692;75,8
Azerbaijan;9845320;4139;72,9
Jordan;9785843;4095;74,4
Tunisia;11433443;3494;76,5
Paraguay;6867061;5776;74,1
Libya;6580724;5791;72,7
Turkmenistan;5757667;6587;68,1
Bolivia;11192855;3351;71,2
Côte d'Ivoire;24437470;1529;57,4
Bahrain;1494076;23715;77,2
Cameroon;24566073;1422;58,9
Yemen;27834819;1123;66,1
Latvia;1951097;15613;75,2
Estonia;1319390;20170;78,6
Uganda;41166588;631;63
Zambia;16853599;1535;63,5
El Salvador;6388126;3883;73,1
Iceland;334393;73233;82,9
Honduras;9429013;2437;75,1
Cambodia;16009409;1384;69,6
Trinidad and Tobago;1384059;15952;73,4
Cyprus;1179678;18695;80,8
Zimbabwe;14236595;1548;61,2
Senegal;15419355;1366;67,7
Papua New Guinea;8438036;2434;64,3
Afghanistan;36296113;538;64,5
Bosnia and Herzegovina;3351525;5387;77,3
Botswana;2205080;7894;69,3
Laos;6953035;2424;67,6
Mali;18512430;828;58,9
Georgia;4008716;3762;73,6
Gabon;2064823;7271;66,2
Jamaica;2920848;5061;74,4
Nicaragua;6384846;2164;74,3
Mauritius;1264499;10491;74,9
Namibia;2402633;5516;63,4
Mozambique;28649018;441;60,2
Malta;437933;28585;82,4
Burkina Faso;19193234;642;61,2
Equatorial Guinea;1262002;9741;58,4
Bahamas;381755;31858;73,8
Brunei;424473;28572;75,7
Armenia;2944791;3918;74,9
Madagascar;25570512;450;66,7
Mongolia;3113786;3672;69,7
North Macedonia;2081996;5418;75,7
Guinea;12067519;868;61,2
Chad;15016753;657;54
Benin;11175198;827;61,5
Rwanda;11980961;762;68,7
Haiti;10982366;766;63,7
Moldova;4059684;2002;71,8
Niger;21602382;376;62
Kyrgyzstan;6189733;1222;71,3
Tajikistan;8880268;805;70,9
Malawi;17670196;357;63,8
Fiji;877459;5768;67,3
Mauritania;4282570;1173;64,7
Montenegro;627563;7720;76,8
Togo;7698474;618;60,8
Barbados;286232;16328;79,1
Eswatini;1124805;3942;59,4
Sierra Leone;7488423;504;54,3
Guyana;775222;4671;69,8
Liberia;4702226;699;63,7
Burundi;10827019;293;61,2
Andorra;77001;39128;81,8
Suriname;570496;5251;71,6
Lesotho;2091534;1233;53,7
Bhutan;745563;3391;71,5
Central African Republic;4596023;424;52,8
Belize;375769;4957;74,5
Cabo Verde;537498;3298;72,8
Saint Lucia;180954;9602;76,1
Antigua and Barbuda;95426;15825;76,9
Seychelles;96418;15536;73,3
Gambia;2213889;673;61,7
Guinea-Bissau;1828145;737;58
Solomon Islands;636039;2049;72,8
Grenada;110874;10164;72,4
Comoros;813892;1312;64,1
Vanuatu;28551;3022;70,3
Samoa;195352;4305;73,2
Tonga;101998;4193;70,8
Palau;17808;16275;73,7
Marshall Islands;58058;3517;73,9
Kiribati;114158;1626;68,1
